cycle,range_bin,doppler_bin,output_hex
1038385000,0,0,00ccff51
1038395000,0,1,ff7b0135
1038405000,0,2,00d6fe35
1038415000,0,3,0024016a
1038425000,0,4,fd7fff63
1038435000,0,5,04e300fb
1038445000,0,6,fcc80088
1038455000,0,7,0076fe24
1038465000,0,8,ff2300e0
1038475000,0,9,02200041
1038485000,0,10,fdd4fe03
1038495000,0,11,0179047e
1038505000,0,12,ff3bfc49
1038515000,0,13,00c500b7
1038525000,0,14,0012ff3e
1038535000,0,15,ffa7018f
1038545000,0,16,0086ff0b
1038555000,0,17,fed1012d
1038565000,0,18,00a8fef3
1038575000,0,19,003e008a
1038585000,0,20,ffddffad
1038595000,0,21,ff93ff2d
1038605000,0,22,00c4ffbc
1038615000,0,23,fe4e00a8
1038625000,0,24,02af0250
1038635000,0,25,fe54fdad
1038645000,0,26,001a002d
1038655000,0,27,0079001a
1038665000,0,28,ffb5ffdb
1038675000,0,29,ffcd0001
1038685000,0,30,01a6ff56
1038695000,0,31,fd5900f9
1042975000,1,0,feb0011a
1042985000,1,1,01980055
1042995000,1,2,001fff35
1043005000,1,3,ff8b010f
1043015000,1,4,ffa9ff13
1043025000,1,5,01a2ff82
1043035000,1,6,fe60008e
1043045000,1,7,003e00d4
1043055000,1,8,ff31ff67
1043065000,1,9,00b90055
1043075000,1,10,fff8fec5
1043085000,1,11,0082025f
1043095000,1,12,ffe7fe41
1043105000,1,13,ff5dfe81
1043115000,1,14,0114031a
1043125000,1,15,001efe2f
1043135000,1,16,fe300076
1043145000,1,17,012a005d
1043155000,1,18,ffb1ff5d
1043165000,1,19,ffeb0125
1043175000,1,20,ff11ff75
1043185000,1,21,01d2ff76
1043195000,1,22,0040015c
1043205000,1,23,fd42fcb4
1043215000,1,24,04b303f9
1043225000,1,25,fc4dfea1
1043235000,1,26,01c4ff9d
1043245000,1,27,feb80039
1043255000,1,28,002bffef
1043265000,1,29,00e7ff8f
1043275000,1,30,00800070
1043285000,1,31,fee2febd
1047565000,2,0,0015ff8d
1047575000,2,1,ff52ffba
1047585000,2,2,01630169
1047595000,2,3,ffc5ff4c
1047605000,2,4,fdf3ff66
1047615000,2,5,02e4027f
1047625000,2,6,fe87fdec
1047635000,2,7,0112011a
1047645000,2,8,fe46ff9f
1047655000,2,9,0181ffc1
1047665000,2,10,0012ff14
1047675000,2,11,fec1010b
1047685000,2,12,010d005a
1047695000,2,13,fef2fdeb
1047705000,2,14,02100112
1047715000,2,15,fe690125
1047725000,2,16,ffa3004d
1047735000,2,17,0220fe62
1047745000,2,18,fd55013f
1047755000,2,19,0123feb8
1047765000,2,20,ffd7ff94
1047775000,2,21,ff2a0189
1047785000,2,22,0201ff52
1047795000,2,23,fe46ffc6
1047805000,2,24,014e0173
1047815000,2,25,ff01feaf
1047825000,2,26,00ea0100
1047835000,2,27,ff97fd6d
1047845000,2,28,ffed0370
1047855000,2,29,feecfe31
1047865000,2,30,02840084
1047875000,2,31,fe3fff8f
1052155000,3,0,0110fffe
1052165000,3,1,ffbeffa0
1052175000,3,2,00370120
1052185000,3,3,003a0003
1052195000,3,4,fde1feaa
1052205000,3,5,025502d3
1052215000,3,6,ff30fd68
1052225000,3,7,0044017c
1052235000,3,8,ffdfffe8
1052245000,3,9,003bff9b
1052255000,3,10,ff95ff7b
1052265000,3,11,00800182
1052275000,3,12,0005fe67
1052285000,3,13,ff3bfed0
1052295000,3,14,007f0167
1052305000,3,15,ffe40181
1052315000,3,16,017afec0
1052325000,3,17,fde0006c
1052335000,3,18,0085ffd0
1052345000,3,19,00f40003
1052355000,3,20,fe87ff9e
1052365000,3,21,00a3fe79
1052375000,3,22,ff6e031c
1052385000,3,23,00bcfd42
1052395000,3,24,012b0302
1052405000,3,25,fe6bfdad
1052415000,3,26,01530059
1052425000,3,27,fe920160
1052435000,3,28,009ffe51
1052445000,3,29,ff89ffb8
1052455000,3,30,012f0249
1052465000,3,31,fe4cfe11
1056745000,4,0,ff3300d6
1056755000,4,1,0140ff59
1056765000,4,2,00b2ffad
1056775000,4,3,fe3c01c9
1056785000,4,4,004fff66
1056795000,4,5,0318ff62
1056805000,4,6,fd750031
1056815000,4,7,ff160061
1056825000,4,8,019fffd7
1056835000,4,9,fee80012
1056845000,4,10,fffeff25
1056855000,4,11,0091022a
1056865000,4,12,0011fd75
1056875000,4,13,ff4b00f2
1056885000,4,14,010bffda
1056895000,4,15,00110052
1056905000,4,16,ff47fff4
1056915000,4,17,004c0173
1056925000,4,18,ff4efe15
1056935000,4,19,010800ff
1056945000,4,20,fed7ff48
1056955000,4,21,0070ffe4
1056965000,4,22,00990121
1056975000,4,23,fe10fdef
1056985000,4,24,049703e3
1056995000,4,25,fba8fc46
1057005000,4,26,01f201b9
1057015000,4,27,0037ffbe
1057025000,4,28,fe69ffb1
1057035000,4,29,0279ff84
1057045000,4,30,ff47012c
1057055000,4,31,feb5fe7e
1061335000,5,0,016301fc
1061345000,5,1,fea1000d
1061355000,5,2,00a7ff52
1061365000,5,3,004b0145
1061375000,5,4,ff510068
1061385000,5,5,0165ff0d
1061395000,5,6,fe81fe93
1061405000,5,7,005a0229
1061415000,5,8,ff92fe8f
1061425000,5,9,00d30104
1061435000,5,10,ff32ff37
1061445000,5,11,014d0226
1061455000,5,12,fecdfd29
1061465000,5,13,00a20124
1061475000,5,14,00f3ff03
1061485000,5,15,fdaa00e6
1061495000,5,16,02bbffa4
1061505000,5,17,fe8500ed
1061515000,5,18,fe93ff90
1061525000,5,19,01bfff31
1061535000,5,20,fef3011a
1061545000,5,21,00a3fee9
1061555000,5,22,ff4100cf
1061565000,5,23,008400c7
1061575000,5,24,01c8fe39
1061585000,5,25,fe1700d6
1061595000,5,26,003800eb
1061605000,5,27,00f5fe68
1061615000,5,28,ff47016d
1061625000,5,29,000efe72
1061635000,5,30,ff270297
1061645000,5,31,0014fc46
1065925000,6,0,00bd0135
1065935000,6,1,0044001d
1065945000,6,2,ff78fe6c
1065955000,6,3,0199009d
1065965000,6,4,fd0500fc
1065975000,6,5,03f3fff8
1065985000,6,6,fc670028
1065995000,6,7,0117fddc
1066005000,6,8,01450299
1066015000,6,9,fed9fe4c
1066025000,6,10,00170024
1066035000,6,11,00aa00bc
1066045000,6,12,fe84ff16
1066055000,6,13,019c00ee
1066065000,6,14,ff7fff71
1066075000,6,15,ff46ffb1
1066085000,6,16,017300ad
1066095000,6,17,ffd2ff21
1066105000,6,18,ff2a01dc
1066115000,6,19,ff29fe57
1066125000,6,20,00a10090
1066135000,6,21,00d3ff80
1066145000,6,22,fe79ff4e
1066155000,6,23,008301da
1066165000,6,24,0217fe95
1066175000,6,25,fd85028e
1066185000,6,26,01abfd18
1066195000,6,27,ffa801ec
1066205000,6,28,0062ff0e
1066215000,6,29,fe02ffea
1066225000,6,30,01f5ff75
1066235000,6,31,fe64fff5
1070515000,7,0,006e0292
1070525000,7,1,005bfeba
1070535000,7,2,000cff3b
1070545000,7,3,ff530197
1070555000,7,4,002dff2a
1070565000,7,5,022e000f
1070575000,7,6,fe63fffb
1070585000,7,7,ffc30131
1070595000,7,8,ffa2fe9e
1070605000,7,9,ff070153
1070615000,7,10,0201fe27
1070625000,7,11,018a015b
1070635000,7,12,fc5efea0
1070645000,7,13,035000c2
1070655000,7,14,fdb6ffb0
1070665000,7,15,00ebffdf
1070675000,7,16,fece0014
1070685000,7,17,00d3ffe4
1070695000,7,18,ffba011d
1070705000,7,19,ffabffd1
1070715000,7,20,0049fede
1070725000,7,21,0082017d
1070735000,7,22,ff11fedb
1070745000,7,23,00830073
1070755000,7,24,009efef8
1070765000,7,25,fea701f3
1070775000,7,26,0205ff59
1070785000,7,27,fda4fe7d
1070795000,7,28,01a0031c
1070805000,7,29,ff44fd06
1070815000,7,30,018a02b2
1070825000,7,31,fe13fcf5
1075105000,8,0,00580199
1075115000,8,1,00fafea3
1075125000,8,2,ff4d016f
1075135000,8,3,ff1aff40
1075145000,8,4,ff3a0116
1075155000,8,5,03b8fe95
1075165000,8,6,fc98016f
1075175000,8,7,01cffed4
1075185000,8,8,009c0027
1075195000,8,9,fe0f001c
1075205000,8,10,00b5ff7d
1075215000,8,11,ff070355
1075225000,8,12,014bfc04
1075235000,8,13,febf0092
1075245000,8,14,02800128
1075255000,8,15,fe41fed1
1075265000,8,16,003e00f9
1075275000,8,17,01040007
1075285000,8,18,fe13ffb5
1075295000,8,19,00660062
1075305000,8,20,00b8ffb6
1075315000,8,21,ff68005f
1075325000,8,22,00a8ff5b
1075335000,8,23,fd9fffd2
1075345000,8,24,0416007f
1075355000,8,25,fe43012a
1075365000,8,26,ff4bfe67
1075375000,8,27,01c5001d
1075385000,8,28,fe1b0090
1075395000,8,29,0171fffa
1075405000,8,30,ff30001e
1075415000,8,31,ff75fe55
1079695000,9,0,01dffffb
1079705000,9,1,ff12ffe4
1079715000,9,2,00b0010a
1079725000,9,3,fffbfed4
1079735000,9,4,fe3affce
1079745000,9,5,020f01b2
1079755000,9,6,fe9cff68
1079765000,9,7,01810069
1079775000,9,8,fe23ff00
1079785000,9,9,033f00b5
